year,country,title,rating,genre
2013,USA,21 &amp; Over,1,Comedy
2012,"UK, USA, India, South Africa",Dredd 3D,3,"Action, Crime, Sci-Fi"
2013,"USA, UK",12 Years a Slave,3,"Biography, Drama, History"
2013,USA,2 Guns,1,"Action, Comedy, Crime"
2013,USA,42,2,"Biography, Drama, Sport"
2013,USA,47 Ronin,2,"Action, Adventure, Fantasy"
2013,USA,A Good Day to Die Hard,1,"Action, Crime, Thriller"
2013,UK,About Time,3,"Drama, Fantasy, Romance"
2013,USA,Admission,3,"Comedy, Drama, Romance"
2013,USA,After Earth,1,"Action, Adventure, Sci-Fi"
2013,USA,American Hustle,3,"Crime, Drama"
2013,USA,August: Osage County,3,Drama
2013,USA,Beautiful Creatures,3,"Drama, Fantasy, Romance"
2013,USA,Blue Jasmine,3,"Comedy, Drama"
2013,USA,Captain Phillips,1,"Biography, Drama, Thriller"
2013,USA,Carrie,3,"Drama, Horror"
2013,USA,Cloudy with a Chance of Meatballs 2,3,"Animation, Comedy, Family"
2013,USA,Despicable Me 2,3,"Animation, Adventure, Comedy"
2013,USA,Don Jon,3,"Comedy, Drama, Romance"
2013,USA,Elysium,3,"Action, Drama, Sci-Fi"
2013,USA,Ender&#39;s Game,2,"Action, Adventure, Sci-Fi"
2013,USA,Epic,3,"Animation, Adventure, Family"
2013,"USA, Canada",Escape from Planet Earth,3,"Animation, Adventure, Comedy"
2013,USA,Escape Plan,2,"Action, Mystery, Thriller"
2013,USA,Evil Dead,3,Horror
2013,USA,Fast and Furious 6,3,"Action, Crime, Thriller"
2013,USA,Frozen,3,"Animation, Adventure, Comedy"
2013,USA,G.I. Joe: Retaliation,3,"Action, Adventure, Sci-Fi"
2013,USA,Gangster Squad,1,"Action, Crime, Drama"
2013,"Chile, Spain",Gloria,3,"Comedy, Drama"
2013,"USA, UK",Gravity,0,"Drama, Sci-Fi, Thriller"
2013,USA,Grown Ups 2,2,Comedy
2013,"Germany, USA",Hansel &amp; Gretel: Witch Hunters,3,"Action, Fantasy, Horror"
2013,USA,Her,2,"Drama, Romance, Sci-Fi"
2013,USA,Identity Thief,2,"Comedy, Crime"
2013,"USA, Canada",Insidious: Chapter 2,2,"Horror, Thriller"
2013,"USA, China",Iron Man 3,3,"Action, Adventure, Fantasy"
2013,USA,Jack the Giant Slayer,0,"Adventure, Fantasy"
2013,"USA, UK",Kick-Ass 2,3,"Action, Comedy, Crime"
2013,USA,Last Vegas,1,Comedy
2013,USA,Lee Daniels&#39; The Butler,3,"Biography, Drama"
2013,"Russia, USA",Machete Kills,3,"Action, Comedy, Crime"
2013,"Canada, Spain",Mama,3,"Horror, Thriller"
2013,"USA, Canada, UK",Man of Steel,3,"Action, Adventure, Fantasy"
2013,USA,Nebraska,3,"Adventure, Drama"
2013,"France, USA",Now You See Me,1,"Crime, Mystery, Thriller"
2013,USA,Oblivion,3,"Action, Adventure, Mystery"
2013,USA,Olympus Has Fallen,1,"Action, Thriller"
2013,USA,Oz the Great and Powerful,3,"Adventure, Family, Fantasy"
2013,USA,Pacific Rim,1,"Action, Adventure, Sci-Fi"
2013,USA,Pain &amp; Gain,1,"Action, Comedy, Crime"
2013,USA,Parker,3,"Action, Crime, Thriller"
2013,USA,Peeples,3,"Comedy, Romance"
2013,USA,Percy Jackson: Sea of Monsters,3,"Adventure, Family, Fantasy"
